242	478
220	500
202	500
182	516
164	536
164	544
164	572
158	580
152	596
144	610
144	624
142	640
140	656
138	670
137	690
136	716
132	736
134	756
136	776
138	798
142	816
152	840
160	850
172	874
188	878
198	898
210	913
232	918
250	940
266	956
284	960
306	970
340	996
348	998
372	998
382	998
412	1000
424	1002
438	1000
464	990
482	988
490	988
504	984
506	984
504	976
502	970
510	960
512	950
520	940
524	934
530	928
544	898
560	880
570	864
580	840
600	810
602	796
620	772
642	768
668	750
680	730
710	720
722	690
742	676
766	648
798	630
